text,cluster
klau yang pendeta bunuh selingkuhan dan di senggami setelah mati di kamar mandi gereja tidak kamu kabarkan dasar mahluk kalabong,4
nggak mungkin lah bicara tanpa data bisa bunuh diri namanya apalagi di tonton puluhan juta rakyat indonesia laporan nya sudah masuk di polda sumut cuma nggak di proses saja ironis sekali,4
lebih baik dibunuh langsung ini antek antek si maringan sangat berbahaya minhoo ini pencuri di pertanian,3
gila emg begal tuh otaknya kemana ya sampe bunuh ibu hamil lebih parahnya lagi ada anaknya dia lihat dengan jelas gimana di tembak dan di tusuk nya,4
polisi tangkap pria di kasus penipuan berkedok peminjaman uang,2
muzdalifah dilaporkan ke polisi karena kasus penipuan apakah benar nassar penyebabnya jangan lewatkan updetan sta,2
suami dina lorenzo gathan ditangkap polisi ditemukan narkoba dan senjata api,4
sempat lari polisi menangkap pencuri sepmor dan emas milik yusniar di perbatasan aceh sumut,3
pelaku curanmor dimassa dua kawanan pencuri sepeda motor kreta diamuk massa di jalan belat kelurahan sidorejo medan tembung kemarin malam nyawa keduanya selamat berkat kesigapan polisi kapolsek percut sei tuan kompol,3
viral pengamen jalanan siantar,2
hahhaha pencurian sepeda motor digagalkan satu kampung dihajar sampai penyok,3
babi untung saja terekan cctv pencuri itu taik mampus lu dapat lu pasti pencuri,3
kwkwkwk dasar penipu untung lu ditangkap petugas satpam hahhah mampus dahh,2
polisi menangkan aksi penipuan di internet,2
sadiss beut pembunuhan anak untuk lu berhasil ditangkap aparat t co kali rsfges,4
saya menerima pesan singkat ada modus penipuan dan saya melapor ke polisi dengan cepat polisi merespon laporan itu,2
gila emg begal tuh otaknya kemana ya sampe bunuh ibu hamil lebih parahnya lagi ada anaknya dia lihat dengan jelas gimana di tembak dan di tusuk nya ya allah anaknya kasihan semoga tidak trauma berlebih ya kamu de,4
gila begal berani benar sekarang bawa pistol segala,1
begal sekarang main lempar batu dari atas jembatan ke jalan tol gila betul,1
kebiadaban begal dan pencuri harus di basmi mereka bukan manusia lagi,3
pengen itu kapoldasu juga perintahkan tembak di tempat begal perampok dia tidak tau kali ya sudah sangat rawan keamanan apalagi malam,1
bayangkan saja daerah simpang usu yang selama ini aman sekarang begal merajalela disitu,1
hati kalo ban mobil kamu sering bocor di daerah itu itu modus anak usu kena begal di dari mansyur,1
ohya kapan aku baru saja dari drmansyur anak usu kena begal di dari mansyur,1
pencurian ponsel anak sekolah di dekat kampus unika dua tersangka di tangkap warga menurut pengirim video kejadian mulai di kfc seti budi tersangka jambret ponsel seorang perempuan anak sekolah sma dua pencuri tersebut dikejar,3
basmi ormas preman pungli dimana di sumut,0
preman parkir liar akan kami basmi dari sekitaran bonnet kalau dishub tidak bertindak,2
wah wah ini baru benar asal jangan ketika naik lupa bersikap seperti ini di sumut perlu pemimpin tegas dan bersih supaya bersih pungli,0
djoss yakin bisa mengatasi pungli kalau jadi gubernur sumutmau,0
pungli di sekolah swasta masih banyak misalnya anak saya di sma wr supratman ada uang bimbel mata pelajaran di sekolah pada sore hari gurunya dari sekolah itu juga padahal ada bos kok masih dikutip uang dari siswa,0
pungli di  jalan lintas sumatera wilayah kecamatan tanjung pura kabupaten langkat saat melakukan pungli kepada sopir truk lintas aceh,0
dimana pungli oleh oknum ormas kepemudaan sungguh ironis dan diduga ormas tersebut dideking oknum polisi karena sudah mengakar bertahun pemerasan thr dan lain,0
spsi merajalela minta bayaran untuk membongkar muatan meskipun bukan dibongkar sama kuli mereka apakah ini termasuk pungli bang bil,0
pencurian di unimed dihajar mahasiswa sampe pekok,3
daerah perbatasan aceh masih banyak pungli tolong di kondisi kan,0
cek jalan lintas timur dari perbatasan riau berapa banyak pungli yang di temui sepanjang jalan tersebut,0
semakin rawan begal sangat meresahkan bagaimana ini,1
pencegahan harus diutamakn sebab sudah terlalu banyak korban begal saya sendiri juga korban begal di dekat terminal pinang baris setahun lalu mengerikan syukur saya selamat,1
preman begal tukang hipnotis semua lengkap ada disini hidupmedan tingkat kriminalitas tinggi,1
di komplek rumahku dulu banyak kali pencuri mohon atasinlah,3
wah takut keluar malam banyak begal berserakan,1
tidak tau lh aku wkwk banyak kali begal di padang bulan ini seram saya keluar malam malam,1
syukurlah sudah ditangkapi jaringan begal kemaren,1
tertangkap pencurinya   paok kali pulaknya pencuri di rumah kosong terpergok korbannya kemudian dikurung dan dikepung warga,3
tadi aku dengar ribut ribut depan rumahku takut kali aku nanti pencuri pula,3
kenapa pencuri datangnya malam malam wkwkwk,3
pencuri teriak pencuri tangkap semua yang terlibat dan nampak di vidio itu saja kok repot jangan lupakan korban meninggal di tempat,3
pencuri nya sudah di tangkap tapi sudah hampir bln pengaduan saya tidak di tanggapi serius pihak bri tolong,3
kawanan sepesialis pencuri mini market dihakimi warga setelah aksinya kepergok dikawasan duren sawit jakarta ironisnya da,3
kenpa hdup di kota bnyak orang yang berani berbohong dusta pencuri dan masih bnyak lagi aaahhh pgn pindaaaaaaaaahhhh,3
laporin itu pungli,0
medan sudah tidak aman lagi tidak lagi menjadi kota yang nyaman tapi sudah berubah menjadi kota yang tidak nyaman tindakan kriminal dimana mana pungli dijalanan meraja lela pasar pasar dikuasai preman anies sandi cuma bisa diam,0
wah wah ini baru benar asal jangan ketika naik lupa bersikap seperti ini perlu pemimpin tegas dan bersih supaya bersih pungli,0
daerah siantar banyak pungli yang menggila,0
kkkkkk sekarang juga banyak sangat banyak yang korupsi apalagi pungli waduh mbelader itu mulai perbatasan bagan batu sampai medan banyak pungli banyak cara dan modusnya,0
di depan kantor polsek medankota masih ada pungli jukir liar walaupun kapolres sudah mengganti kapolsek,0
orang petugas parkir yang diduga lakukan pungutan liar pungli di lokasi parkir pasar,0
pedagang pasar dame kelurahan pusat pasar medan resah karena pungli,0
semua jajaran kabinet harus sering sering turun lapangan langsung mengecek kesetiap daerah agar tidak ada lagi tengkulak or preman pasar yang suka pungli bermaen dengan harga yang sudah ditentukan oleh pemerintah pusat,0
,4
,2
,2
,4
,4
,4
,1
,4
,4
,4
,2
,3
,4
,4
,4
,3
,3
,3
,3
,3
,1
,2
,1
,2
,1
,1
,1
,1
,1
,2
,2
,1
,1
,1
,1
,1
,4
,4
,3
,4
,4
,4
,4
,4
,4
