,text,actual,pred
51,ditangkap polisi akibat melakukan pembunuhan wah tragis,pos,pos
52,sempat lari polisi menangkap pencuri sepmor dan emas milik yusniar di perbatasan aceh sumut,pos,pos
53,pelaku curanmor dimassa dua kawanan pencuri sepeda motor kreta diamuk massa di jalan belat kelurahan sidorejo medan tembung kemarin malam nyawa keduanya selamat berkat kesigapan polisi kapolsek percut sei tuan kompol,pos,pos
54,viral pengamen jalanan siantar,neg,neg
55,saya bangga dengan kinerja polisi sumut salut,pos,pos
56,mantap pak polisi kupas tuntas semua begal ini,pos,pos
57,polisi sekarang sudah mulai aktif polisi yang keliling malam malam untuk mengatasi begal,pos,pos
58,hahhaha pencurian sepeda motor digagalkan satu kampung dihajar sampai penyok,neg,neg
59,salut pak polisi membantu orang tua yang mau nyebrang di jalan rame,pos,pos
60,pencuri di hajar sampai babak belur wkwkwwk kasihan,neg,neg
61,babi untung saja terekan cctv pencuri itu taik mampus lu dapat lu pasti pencuri,neg,neg
62,kwkwkwk dasar penipu untung lu ditangkap petugas satpam hahhah mampus dahh,neg,neg
63,polisi menangkan aksi penipuan di internet,pos,pos
64,sadiss beut pembunuhan anak untuk lu berhasil ditangkap aparat t co kali rsfges,pos,neg
65,saya menerima pesan singkat ada modus penipuan dan saya melapor ke polisi dengan cepat polisi merespon laporan itu,pos,pos
66,gila emg begal tuh otaknya kemana ya sampe bunuh ibu hamil lebih parahnya lagi ada anaknya dia lihat dengan jelas gimana di tembak dan di tusuk nya ya allah anaknya kasihan semoga tidak trauma berlebih ya kamu de,neg,neg
67,gila begal berani benar sekarang bawa pistol segala,neg,neg
68,begal sekarang main lempar batu dari atas jembatan ke jalan tol gila betul,neg,neg
69,kebiadaban begal dan pencuri harus di basmi mereka bukan manusia lagi,neg,neg
70,darurat kejahatan untuk indonesia harus ada perintah tegas dari kapolri tidak hanya basmi semua jenis kjhatan judi narkoba begal cur pencuri hipnotis dan sebagainya,neg,neg
71,kejadian pencurian motor kalau boleh usul pak polisi tiap orang memegang senjata masing basmi pencuri,neg,pos
72,pengen itu kapoldasu juga perintahkan tembak di tempat begal perampok dia tidak tau kali ya sudah sangat rawan keamanan apalagi malam,pos,neg
73,pak polri tolong ini ditindak pencuri pencurian sudah berani beraksi di sirkuit balap cc,neg,pos
74,poldasu bnn telah berhasil menangkap pencurian di kota rantau prapat labuhan batu sumatera utara,pos,pos
75,pak tolong diselidiki para pelaku pencurian pada pengendara sepeda motor khususnya ibu ibu trimakasih,pos,pos
76,selamat malam pak saya ingin mengeluhkan mengenai pencurian kepada pengendara motor di daerah sigumpar,neg,neg
77,bayangkan saja daerah simpang usu yang selama ini aman sekarang begal merajalela disitu,neg,neg
78,pos satpam kalau bisa ditambah soalnya di lingkungan usu sekarang rawan pencurian min saran ukabar menurut kalian bagaimana dengan keamanan,neg,neg
79,hati kalo ban mobil kamu sering bocor di daerah itu itu modus anak usu kena begal di dari mansyur,neg,neg
80,ohya kapan aku baru saja dari drmansyur anak usu kena begal di dari mansyur,neg,neg
81,kurang aman min ada pencuri pengamen orang gila pengemis menurut kalian bagaimana dengan keamanan di kampus usu saran,neg,neg
83,yang paling heboh tadi di fp ada pencuri kereta yang tertangkap,neg,neg
84,rindu kali memukul pencuri di teknik di pencurian speda motor di usu akses masuk usu yang bebas dan sistem keamanan yang,neg,neg
85,pencurian ponsel anak sekolah di dekat kampus unika dua tersangka di tangkap warga menurut pengirim video kejadian mulai di kfc seti budi tersangka jambret ponsel seorang perempuan anak sekolah sma dua pencuri tersebut dikejar,neg,neg
86,dua pencuri pelaku jambret di tangkap di hajar warga sampai babak belur nangis,neg,neg
87,polres asahan tangkap pencuri motor di lokasi,pos,pos
88,mencuri besi di hermes kelima pelaku di tangkap polisi,pos,pos
89,alhamdulillah orang yang mencuri motor mio ku sudah di tangkap,pos,pos
90,pengecut mereka sudah seperti preman basmi,neg,neg
91,basmi ormas preman pungli dimana di sumut,neg,neg
92,preman parkir liar akan kami basmi dari sekitaran bonnet kalau dishub tidak bertindak,neg,neg
93,wah wah ini baru benar asal jangan ketika naik lupa bersikap seperti ini di sumut perlu pemimpin tegas dan bersih supaya bersih pungli,neg,neg
94,djoss yakin bisa mengatasi pungli kalau jadi gubernur sumutmau,pos,neg
95,masih pungli dan para calo berkeliaran di lapangan ini fakta bukan hoax maka nya semua urusan mesti uang tunai seluruh warga sumut harus memenangkan djoss karena ini saat yang tepat untuk menuju sumut transparansi bebas dari segala pungli,neg,neg
96,pungli di sekolah swasta misalnya anak saya di sma wr supratman ada uang bimbel mata pelajaran di sekolah pada sore hari gurunya dari sekolah itu juga padahal ada bos kok masih dikutip uang dari siswa,neg,neg
97,pungli di  jalan lintas sumatera wilayah kecamatan tanjung pura kabupaten langkat saat melakukan pungli kepada sopir truk lintas aceh,neg,pos
98,dimana pungli oleh oknum ormas kepemudaan sungguh ironis dan diduga ormas tersebut dideking oknum polisi karena sudah mengakar bertahun pemerasan thr dan lain,neg,pos
99,spsi merajalela minta bayaran untuk membongkar muatan meskipun bukan dibongkar sama kuli mereka apakah ini termasuk pungli bang bil,neg,neg
100,pencurian di unimed dihajar mahasiswa sampe pekok,neg,neg
101,daerah perbatasan aceh masih ada pungli tolong di kondisi kan,neg,neg
102,cek jalan lintas timur dari perbatasan riau berapa banyaks pungli yang di temui sepanjang jalan tersebut,neg,neg
103,pungli di lintas sumatra bukan semua dari preman tapi juga dari aparat lalu lintas silahkan saja cek di jalur lintas timur sepanjang jalan isinya pungli,neg,pos
104,pungli di lintas timur sumatera akan tetap subur pak karena sebagian besar pelakunya adalah aparat,neg,pos
105,terima kasih sudah mengamankan kasus pencurian didepan rumahku,pos,pos
106,terima kasih medan sudah aman terkendali begal,pos,pos
107,bagus kerjanya saya salut disaat semua orang libur ada yang menjaga keamanan jadi tidak takut ada pencuri,pos,pos
108,terimakasih polsek medan baru atas pengamanan dari pencurian motor,pos,pos
110,mantap pencuri motor sudah diadili,pos,pos
111,semakin rawan begal sangat meresahkan bagaimana ini,neg,neg
112,pencegahan harus diutamakn sebab sudah terlalu banyak korban begal saya sendiri juga korban begal di dekat terminal pinang baris setahun lalu mengerikan syukur saya selamat,neg,neg
113,preman begal tukang hipnotis semua lengkap ada disini hidupmedan tingkat kriminalitas tinggi,neg,neg
114,itu dong pak polisi harusnya menjaga keamanan saya bangga,pos,pos
115,di komplek rumahku dulu sering kali pencuri mohon atasinlah,neg,neg
116,wah takut keluar malam begal berserakan,neg,neg
117,tidak tau lh aku wkwk kali begal di padang bulan ini seram saya keluar malam malam,neg,neg
118,syukurlah sudah ditangkapi jaringan begal kemaren,pos,neg
119,tertangkap pencurinya   paok kali pulaknya pencuri di rumah kosong terpergok korbannya kemudian dikurung dan dikepung warga,pos,neg
120,tadi aku dengar ribut ribut depan rumahku takut kali aku nanti pencuri pula,neg,neg
121,sekarang sudah aman tidak perlu takut lagi bebas pencurian pencuri,neg,neg
122,kenapa pencuri datangnya malam malam wkwkwk,neg,neg
123,good job pak lanjutkan sikat habis itu pencuri,pos,pos
124,pencuri teriak pencuri tangkap semua yang terlibat dan nampak di vidio itu saja kok repot jangan lupakan korban meninggal di tempat,neg,neg
125,pencuri nya sudah di tangkap tapi sudah hampir bln pengaduan saya tidak di tanggapi serius pihak bri tolong,pos,neg
126,pencuri kotak infaq masjid istiqiomah tertangkap,neg,neg
127,kawanan sepesialis pencuri mini market dihakimi warga setelah aksinya kepergok,neg,neg
128,kenapa hidup di kota bnyak orang yang berani berbohong dusta pencuri dan masih bnyak lagi aaahhh pgn pindaaaaaaaaahhhh,neg,neg
129,laporin itu pungli,neg,neg
130,medan sudah tidak aman lagi tidak lagi menjadi kota yang nyaman tapi sudah berubah menjadi kota yang tidak nyaman tindakan kriminal dimana mana pungli dijalanan meraja lela pasar pasar dikuasai preman anies sandi cuma bisa diam,neg,neg
131,basmi ormas preman pungli di sumut,neg,pos
132,wah wah ini baru benar asal jangan ketika naik lupa bersikap seperti ini perlu pemimpin tegas dan bersih supaya bersih pungli,pos,neg
133,pak kapolri ada posko ormas di simpang jalan kapten jumhana melakukan pungli ke rumah warga tionghoa polrestamedan polsekmedankota harus turun,neg,pos
135,sekedar info bapak presiden di pelayanan terpadu satu pintu subur praktek pungli urus ud cv dan pt hari kerja hari,neg,neg
136,berat sih mau keluar kota berkembang kalau pungli separah ini menjadi preman adalah pekerjaan sehari hari dan seluruh prosesi ini dilumrahkan oleh masyarakat,neg,neg
137,daerah siantar ada pungli yang menggila,neg,neg
138,pungli di lintas sumatra utara bukan semua dari preman tapi juga dari aparat lalu lintas silahkan saja cek di jalur lintas timur medan sepanjang jalan isinya pungli,neg,pos
139,kkkkkk sekarang juga banyak sangat gilak yang korupsi apalagi pungli waduh mbelader itu mulai perbatasan bagan batu sampai medan banyak pungli banyak cara dan modusnya,neg,neg
140,di depan kantor polsek medankota masih ada pungli jukir liar walaupun kapolres sudah mengganti kapolsek,neg,pos
141,orang petugas parkir yang diduga lakukan pungutan liar pungli di lokasi parkir pasar,neg,neg
142,pedagang pasar dame kelurahan pusat pasar medan resah karena pungli,neg,neg
143,semua jajaran kabinet harus sering sering turun lapangan langsung mengecek kesetiap daerah agar tidak ada lagi tengkulak or preman pasar yang suka pungli bermaen dengan harga yang sudah ditentukan oleh pemerintah pusat,neg,neg
144,terlibat pembunuhan seorang politisi semua personel polisi kota ini ditangkap dan ditahan,pos,pos
145,percobaan pembunuhan mulu deh masuk drama tidak ya,neg,neg
146,taik pagi pagi penipu udah nelpon transfer atm gojek,neg,neg
147,wah wah penipu sekarang bejibun ya,neg,neg
148,ekoran kes pembunuhan pemandu grab tempoh hari saya sarankan provide perlindungan ini kepada setiap driver h,neg,neg
149,mau nyoblos saja pakai nyuruh lihat dari background agamanya nah giliran ada pengeboman dan pembunuhan pakai ungkit,neg,neg
151,besok rekontruksi pembunuhan bandar narkoba digelar,neg,neg
152,good polisi tangkap itu penipu,pos,pos
153,polisi kerjaannya cuma tidur begal dimana mana malah tidak diurusin,neg,neg
154,tugas sebenarnya dari kami para dokter bukanlah mengautopsi mayat amp menemukan pembunuhnya melainkan menolong korban,pos,neg
156,pembunuhan sekarang di dominasi rasa cemburu,neg,neg
157,semakin nyata konsep penghancuran amp pembunuhan rakyat kecil secara pelan tapi pasti tabung kg tidak subsidipun mulai bergulir,neg,neg
158,polres metro jakbar menggelar konperensi pers terkait meninggalnya orang akibat miras oplosan dice,pos,pos
159,mati kau pencuri anjing kena massa mampus,neg,neg
160,aoyama gosho sangat menyukai kejahatan sempurna pembunuhan ruang tertutup dcfact,neg,neg
161,astajim fitnah lebih kejam daripada pembunuhan,neg,neg
162,selamat dari pembunuhan,neg,neg
163,pembunuhan karakter ini mah,neg,neg
165,tim pegasus polsek medan baru meringkus pencuri kotak infaq,pos,pos
166,sunehri yang menyamar sebagai pencuri wanita justru jatuh cinta dengan target penangkapannya dan saat terdesak ia terpaks,neg,neg
167,dia juga merupakan pencuri dhoom antv,neg,neg
168,dhoom menceritakan tentang aksi pencuri yang dikenal sangat hebat dan profesional bernama mr a hrithik roshan yang sang,neg,neg
169,tidak malu ke curi tweet orang biar tidak handsome tidak cantik jangan jadi pencuri pulak sampah masyarakat,neg,neg
170,pencuri yang bersekongkol hanya akan menjatuhkan satu sama lain tapi pencuri tunggal akan menghasilkan kesempurnaan,neg,neg
171,menghindari pencuri dengan mengunci pintu rapat rapat itu sudah lumrah hal itu termasuk orang yang tidak mau mengerti bh,neg,neg
172,pencuri kotak infak nyaris tewas digebuki warga,neg,neg
173,akibatnya warga ini yang merupakan pelaku pencurian dengan pemberatan curat harus menga,neg,neg
174,kasat reskrim polrestabes medan informasi abg jadi korban begal meninggal dunia adalah hoax,neg,neg
175,perasaan saya mau mulai main twitter lagi buat baik  sudah malah dijahatin sama om om brengsek ini,neg,neg
176,duh untuk para driver taksi online hati ya bang sekarang banyak begal kelakuannya nekat dan kejam utungnya begal yang,neg,neg
177,salah terus polisi dimatamu nak polisi tembak mati sudah sesuai prosedur kalau pelaku kejahatan melakukan perlawa,pos,pos
178,selalu ada alasan untuk ibu melarang saya pulang larut malam dan alasan yang paling besar adalah medan terlalu,neg,neg
179,habisin para penjahat dan waspadai orang yang mendukung serta membela penjahat karena sangat mungkin ia bagian ataup,neg,neg
180,begal semakin meresahkan kenapa,neg,neg
181,gagal gasak motor kelompok begal bercelurit berkeliaran di jalan krakatau,neg,neg
183,terjatuh saat kabur begal dimassa beraksi di lapang golf ciperna radar cirebon,neg,neg
184,karena jalan tol enak nanti pada pindah lagi para begal atau perampok mobil kejln tol sebabnya dima,neg,neg
185,akibatnya pelaku begal ini mendapatkan perawatan medis di rumah sakit sabtu dini,neg,neg
186,pelaku curas tersebut diketahui bernama irsan alias barumbung warga jalan gatot subroto ia ker,neg,neg
187,itu kan kemaren pintu buat yoval sudah tertutup rapat minta kunci nya sama calon tuna,neg,neg
188,pria ini jadi korban begal di jalan sisimangaraja pasuruan desacikadu,neg,neg
189,begal di telanjangi,neg,neg
190,polres metro bekasi tangkap begal yang sering bacok warga,pos,pos
191,buat dibegal wkwkwk begal hatinya paansih,neg,neg
192,polres metro bekasi tangkap begal yang sering bacok warga lantai komentar,pos,pos
195,golok nancap di dada korban diduga dibunuh berita nusabali pembunuhan mayat,neg,neg
196,berlaku huru hara yang menyebarkan kejahatan banyaknya berlaku pergaduhan dan pembunuhan munculnya mati m,neg,neg
197,pencurian motor di kampus usu semakin gilak hati hati gengs,neg,neg
198,harus berapa kali saya mengatakan bukan pembunuhan dan tetek bengeknya yang khalayak minta adriana menahan nap,neg,neg
199,rekonstruksi pembunuhan sadis orang utan pelaku menembak bergiliran,neg,neg
200,ekoran kes pembunuhan pemandu grab tempoh hari saya sarankan provide perlindungan ini kepada setiap driver,neg,neg
201,bodoh dikatakan pembunuhan karena manusia yang melakukannya,neg,neg
202,mengungkapkan kasus pembunuhan dikawasan desa motif perkawinan yang berujung cerai untuk diproses secara hukum,neg,neg
203,majikan tki adelina dituntut pasal pembunuhan dunia blog buruh tki,neg,neg
204,nwkwkw sandal jepit dari masjid saja dicuri hadeh kacau,neg,neg
206,modus pencuri pura pura datang pesta trus ngambilin barang barang,neg,neg
207,serah tunawisma gagal dinsos medan tidak kunjung hadir,neg,pos
209,jalan pasar timur marelan gang kembar arena judi edar narkoba buat resah,neg,neg
210,rekonstruksi bunuh tara gelar tkp,neg,neg
211,gubernur sumut sama rombong dprd nya bagaimana tuh kalau preman pencuri wajar lha ngaku parte allah kok curi masuk surga kah,neg,neg
212,diankot sering terjadi pungli bukan hanya dari preman aparat juga,neg,neg
213,wanita asal pematang siantar riak pencuri salah satu dagang tawar harga bawang sunsetdrive,neg,neg
214,polda sumut geledah rumah pelau teror medan sumatera utara temu jumlah barang bukti upah dokumen sindosore pic twitter com wnsta xjg,pos,pos
215,bunuh kasih sendiri news kabar jawa tengah tvku,neg,neg
216,pbb bagai partai identik dengan masyumi bela lupa sejarah adil partai lolos horma,neg,neg
217,iya ngadain donasi atas nama fanbase didonasiin kata sih juta tidak benar,neg,neg
218,mental pencuri nonton bola begini masuk stadion hasil jebol bukan beli tiket,neg,neg
219,jangan rusak percaya rakyat tumbuh terhadap polri,neg,neg
220,habib rizieq kibar bendera perang lawan aktor bunuh ulama,neg,neg
222,aduh kalo gua kena olshop ownernya nama k barang tidak sampe smp juta duit gua wkwk,neg,neg
223,mobil bawa kabur begal nya,neg,neg
224,tragedi darah mula perang hampir warga awam kepung bekal makan ubat,neg,neg
225,bukti transfer lapor saja polisi biar beku terang tipu pr,neg,pos
226,kota medan pencuri copet,neg,neg
227,besok mingkem pencuri teriak pencuri,neg,neg
228,negara indonesia kata mayoritas muslim intimadsi hadap umat islam era rezim tinggi sekali,neg,neg
229,buat petas malam takbir tiga tangkap polisi,neg,pos
230,ketimbang baca berita gila serang ulama lebih baik baca berita baco bunuh medan lebih greget,neg,neg
231,bukti pungli tiga jabat sumut cuma vonis tahun bui,neg,neg
232,  drama tipu sungguh tarik untuk di baca bagai nikmat air kamu teh baik minggu  ,neg,neg
233,amien rais bunuh serang ulama dalang,neg,neg
234,hari tahun bln kasus bunuh akseyna danau kenanga hai doa al fatehah hai jng lupa polisi,neg,neg
235,beton jalan rusak blok pondok surya lurah helvetia timur camat medan helvetia jalan aksara,neg,pos
236,kubur semen sopir angkot mutilasi jasad sopyan lubis,neg,pos
237,polres langkat sita puluh bal ganja tidak tuan,pos,pos
238,kalau lebaran tetangga tidak muslim tamu rumah ketika natal gilir lah rumah jangan kalian rusak medan isu sara,neg,neg
239,terjadi pembunuhan polisi sigap untuk bertindak,neg,pos
240,begal kampret tidak berotak,neg,neg
241,mantap polisi menindak lanjutin begal di jalan krakatu,pos,pos
242,begal semakin mabuk terjadi hal hal yang kacau,neg,neg
243,aku akan membegal jiwamu,neg,neg
244,begal kayak bangsat ya,neg,neg
245,polisi mengamankan korban begal,pos,pos
246,cepat sigap ya polisi sekarang langsung menangkap begal yang memakan korban,pos,pos
247,gila ya begal jaman now,neg,neg
248,taik begal kawanku di habisin sama begal,neg,neg
249,polisi amankan begal didaerah sisimangaraja dunk,pos,pos
250,pak polisi bagaikan pahlawan yang menghabisi begal pembunuhan,pos,pos
251,jangan keluar malam malam awas begal,neg,neg
252,jangan keluar malam malam begal yang menanti,neg,neg
253,polisi berhasil ringkus pelaku begal,pos,pos
254,polisi mantap dalam menangani begal begal i love untuk polisi,pos,pos
255,kadang kadang ada juga polisi yang kurang peduli akan banyaknya begal,neg,neg
256,gila begal kayak eek bertebaran,neg,neg
257,begini kronologi upaya begal dalam bertindak mencari mangsa,neg,neg
258,skenario proses terjadinya begal adalah pura pura minta tolong untuk mengantar anak ke rumah tau taunya sudah ada preman untuk begal t co ahwk,neg,neg
259,hati hati jangan keluar malam pagi subuh rawan begal,neg,neg
260,begal somplak,neg,neg
261,begal jago,neg,neg
262,begal kayak taik,neg,neg
263,begal masukrumah sakit kritis,neg,neg
264,janga keluar malam kalau tidka mau berjumpa dengan begal,neg,neg
265,dibegal lalu kereta dicuri wah parah jaman sekarang gilak yoo,neg,neg
266,begal kimak sini kau anjing beraninya main keroyok,neg,neg
267,polisi berhasil menangkap komplotan begal,pos,pos
268,pak polisi bantulah didaerah rumah saya begal korbannya juga lumayan banyak,pos,neg
269,hehehehehehe begal kok cupu,neg,neg
270,begal diringkus polisi mantap pak polisi,neg,pos
271,begal itu beraninya main rame boss sendiri sendiri malah cupu,neg,neg
272,kentot begal,neg,neg
273,gilak ahk tidak berani keluar malam lagi saya apalagi jam jam pagi geng motor begal berkeliaran,neg,neg
274,atasi begal polisi mendapat pujian dari masyarakat,pos,pos
275,begal membunuhmu,neg,neg
276,dengan adanya begal sekarang orang orang malas keluar malam,neg,neg
277,babi kawan ku jadi korban begal hati hati guys,neg,neg
278,taiklah begal ini,neg,neg
279,begal burit kencot beraninya keluar malam,neg,neg
280,begal sadis ditembak mati polisi di medan wkwkkw mampus anjing,pos,pos
281,dua pelaku begal di tembak mati polisi,pos,pos
282,pengemudi ojek online pun jadi korban begal kacau nya,neg,neg
283,polisi bekuk geng yang merupakan geng begal,pos,pos
284,mantap polisi buru begal dimalam hari,pos,pos
285,awas begal di sisimangaraja hati hati,neg,neg
286,wah senjata api diproduksi oleh komplotan begal mantap yauu,neg,pos
287,kejahatan jalana mulai marak dari begal geng motor pencurian,neg,neg
288,polisi cek sidik jari di motor begal,pos,pos
289,keren polisi membak begal kwkwk mampus,neg,pos
290,polisi menembak mati begal yang menembak cewek di tangerang,pos,pos
291,polisi menembak begal di kota bandung hahaha kacau mampus,pos,pos
292,kwwkkw jual motor hasil begal untuk beli rokok,neg,neg
293,komplotan begal bersenjata tajam ditangkap polisi,pos,pos
294,senjata begal untuk beraksi golok senjata api wahh gilak,neg,neg
295,polisi tembak mati seorang pelaku begal dan curanmor,pos,pos
296,wanita tewas ditembak begal di tangerang,neg,neg
297,gilak karena pertahankan motor wanita ini tewas dihabisin begal,neg,neg
298,kalau ada begal langsung lari saja jangan dilawan,neg,neg
299,hati hati sama begal,neg,neg
301,penipuan ini namanya,neg,neg
302,tips menghindari penipuan open trip,neg,neg
303,mohon berhati hati untuk seluruh teman jakmania khusus outsiders jawa timur dan bali kepada oknum yang dilingakri dibawah ng,neg,neg
304,penipuan balikin kuotaku yang terbuang sia sia huhuhu,neg,neg
305,makian dan teriakan pencuri ke dua bos sipoa group warnai sidang kasus penipuan pembelian apartemen,neg,neg
306,perempuan punya tidak kisah tuh sebenarnya satu penipuan besar nak makan mana tidak kisah kfc taknaklah tidak sedap,neg,neg
307,beginilah wajah indonesia saat ini saat kotoran berada di permukaan kupon hadiah yang dibagikan di jalan santai jokowi ada penipuan,neg,neg
308,tetap waspada dengan penipuan mengatasnamakan pertamina ya sob cek info resmi rekrutmen pertamina di,neg,neg
309,dinyatakan bersalah lakukan penipuan kades keresek divonis tahun penjara,neg,neg
310,nak minta pantau kes penipuan seperti ini terima kasih,neg,neg
311,bibir bisa melontar penipuan tetapi bukan hati,neg,neg
312,lalu kami jelaskan bahwa itu bukan penipuan melainkan kekurangcermatan cucu kami dalam membandingkan harga mema,neg,neg
313,penipuan hari ke kata nak lantik bod khazanah dikalangan professional amp economist bukan dari kalangan politician mol,neg,neg
314,sakit sebuah kejujuran tidak akan sama seperti sakit sebuah penipuan,neg,neg
315,penipuan,neg,neg
316,awalnya punya firasat jangan penipuan ini masa open tiket bisa lama banget sampai dua tahun dengan harga yang sama tapi ma,neg,neg
317,rekening penipu rekening nama alimi penipuan jual beli akun senilai jt queentara,neg,neg
318,dituntut tahun penjara dugaan penipuan wn norwegia ajukan eksepsi,neg,neg
319,korban penipuan tidak sakit korban kecelakaan juga biasa,neg,neg
320,kok yang bisa malah beli wortel tidak mau ini mah modus penipuan,neg,neg
321,operator seluler menyuburkan praktek penipuan telegram penipuantelegram penipuantransferpulsa transferpulsa,neg,neg
322,korban penipuan mah tidak sakit korban kecelakaan juga biasa tapi kalau jadi korban perasaan kamu itu rasanya sakit banget,neg,neg
323,penawaran internet gb gratis selama hari penipuan,neg,neg
324,waspadai modus penipuan calo tiket di bandara,neg,neg
325,biar pedih ditampar kebenaran daripada dicium penipuan dan pujian,neg,neg
326,penipuan yang terang lagi bersuluh xterang lagi aku pkai laser,neg,neg
328,tbtb ada yang ngasih kwitansi disuruh bayar saya tau itu penipuan yaampun sampai pergi dulu ke air saya netesin air ke mata pura nangis gapunya duit,neg,neg
329,penipuan ya bes,neg,neg
330,halo sobat energibaik tetap waspada terhadap penipuan dalam bentuk apapun terkait penerimaan karyawan baru pt perusahaan gas neg,neg,neg
331,hai kak hati hati terhadap segala bentuk penipuan kuis dan pengumuman pemenang kuis hanya dilakukan melalui sosial media resmi shopee terima kasih aw,neg,neg
332,siang mas atala mengenai indikasi penipuan silakan laporkan melalui sms dengan format ketik penipuan no pelaku ket dari pelaku kirim ke agar ditindaklanjuti dan juga laporkan ke pihak berwajib tks leon,neg,neg
333,sidang penipuan bos apartemen sipoa group ricuh,neg,neg
335,thread penipuan lighstick kpop guys soalnya korbannya sudah banyak dan dia masih terus tipu sampai sakarang dengan rekenin,neg,neg
337,garuda indonesia imbau masyarakat perhatikan hal ini untuk menghindari penipuan lowongan kerja,pos,neg
